,number,geo_point_2d.lat,geo_point_2d.lon,station,mae,rmse,r2
0,1,39.48004223020643,-0.3829292797331582,1,0.055922696970390255,0.09923580233070382,0.4898439143618307
1,2,39.47988935334888,-0.3797483936090024,2,0.07714306557964948,0.10611052496613702,0.2984500583109816
2,3,39.4768353435743,-0.3802883976424855,3,0.06993676120829252,0.09098687135195387,0.7176639279518517
3,4,39.47674734083149,-0.375342380894589,4,0.05330804881782065,0.07067374411101333,0.8805570894425518
4,5,39.476895339123786,-0.3711403661399108,5,0.07396482143689084,0.1007811029419682,0.6840482360684661
5,6,39.47279833147815,-0.3840834139387113,6,0.1216959048597211,0.14529138591433033,0.4931091699865
6,7,39.47487233593648,-0.3791853952972924,7,0.0703175196380556,0.0879083418128206,0.08258477138131892
7,8,39.47388122366064,-0.3752982847143531,8,0.1141637528622753,0.14506185831295657,0.6134683963243381
8,9,39.47435533016869,-0.3699303648826442,9,0.05346499159259515,0.06991559552866423,0.9407392295226132
9,10,39.470816323984536,-0.3826104109763401,10,0.0881168356889652,0.10480989642827025,0.677480934764271
10,11,39.47118632283677,-0.3767843903416451,11,0.08316601111161726,0.11260146610794305,0.6913856367881878
11,12,39.47196722343732,-0.3740102862977963,12,0.046602583495486107,0.06366402781902779,0.963066121493913
12,13,39.4720623227334,-0.3708743696408533,13,0.05279732379131018,0.06637513736593291,0.9175922256358442
13,14,39.46896731649349,-0.3797244022229544,14,0.07487713512447144,0.09563887973326528,0.9151313079747444
14,15,39.46908831533384,-0.3756373880434071,15,0.06070186639375059,0.07366925278627441,0.8924317885970982
15,16,39.470092316192336,-0.3704333693720587,16,0.057247221058545024,0.07626933632977616,0.9545654149144468
16,17,39.46746831099193,-0.3772593951806123,17,0.1166193644222976,0.16036707969802763,0.7750175466677
17,18,39.468191311513856,-0.3731293798737345,18,0.09296325422581976,0.12205753976495835,0.8636586538834976
18,19,39.47436934054566,-0.391590438798602,19,0.0781440736932887,0.1021343068662427,0.6122130173449328
19,20,39.47503434099054,-0.3878474253260651,20,0.05139813411773907,0.06989443438491945,0.5403852420202075
20,21,39.4723713328859,-0.3902144354049112,21,0.06635918232819273,0.09022114545968211,0.8009419176807413
21,22,39.46978732404922,-0.3883534313205414,22,0.0724859648970542,0.09403302331862874,0.7994398866090301
22,23,39.47162832874852,-0.3861784216967592,23,0.05168784183194065,0.07122600742722564,0.45303949602510485
23,24,39.469077319212495,-0.3840274173384119,24,0.06525110465784868,0.08458426887611854,0.043714886777519
24,25,39.46772931656263,-0.3886104333408022,25,0.08773251829425928,0.114481072093351,0.3539976562406597
25,26,39.46633523268935,-0.3858642993911739,26,0.08860972546282467,0.11174283443283985,0.8524037439162511
26,27,39.4633622993056,-0.3818514137102655,27,0.0462990063863496,0.05807263904180548,0.33468996651239147
27,28,39.47158231958138,-0.3677513588006829,28,0.10040139550632188,0.1436699337892964,0.8298327946993979
28,29,39.47011231364647,-0.3652993525279599,29,0.07107745351580282,0.1043326744915863,0.8928455068153168
29,30,39.46860130988493,-0.3684993636557958,30,0.04566105438991346,0.07769304679795062,0.9397448391058298
30,31,39.467365304622646,-0.3650283531086902,31,0.07533269368142041,0.09903940156612463,0.8872979589498228
31,32,39.46600630156446,-0.3682473649948816,32,0.10133390483808599,0.13849183509275823,0.7584665412385955
32,33,39.46481830023885,-0.3739903856231028,33,0.07825532110614908,0.1030992277928309,0.7789239278961396
33,34,39.46412229654908,-0.3699613729909211,34,0.09046899771555235,0.1176103806246232,0.8957957531991226
34,35,39.46374929341137,-0.3669943634005945,35,0.06270139310508965,0.085129319536333,0.2972276403531078
35,36,39.47907234886095,-0.3754363798581042,36,0.07134236224202646,0.09052921979863689,0.8204045368002211
36,37,39.460937800028375,-0.3664406250017559,37,0.06748191890203291,0.09373255895348605,0.9288836945373905
37,38,39.45940204927687,-0.3702493773693626,38,0.0987719921308949,0.13047710241552088,0.6783752269073408
38,39,39.457854277261184,-0.3739313916673185,39,0.06988668519961348,0.09098809333368835,0.9206741708932423
39,40,39.47046631970196,-0.3748243837183276,40,0.04533348746128126,0.05413421204107059,0.9585754101401466
40,41,39.458912276426375,-0.3647763590897919,41,0.06554562367188435,0.08181808565429669,0.9518628986383386
41,42,39.45878127329601,-0.3586583378805894,42,0.10289464706761968,0.1250231461061187,0.427144869810718
42,43,39.459477276259406,-0.3611533458364356,43,0.07159069071834286,0.1009262707395879,0.9190060659272399
43,44,39.45642926768604,-0.3630143545257616,44,0.04460504057419578,0.05966157797274331,0.8890622400299155
